+-----------------------------------------------------------------------------------+-----------+-----------------------+
|                                       name                                        | graduated | per_pupil_expenditure |
| Clinton Senior High                                                               | 92.9      | 16102.46              |
| Beverly High                                                                      | 92.9      | 16081.38              |
| West Springfield High                                                             | 90.7      | 16081.37              |
| Pioneer Charter School of Science                                                 | 98        | 16080.76              |
| South Hadley High                                                                 | 96.6      | 16069.8               |
| Murdock Academy for Success                                                       | 26.7      | 16066.88              |
| Murdock High School                                                               | 86        | 16066.88              |
| North Andover High                                                                | 98.1      | 16052.29              |
| Oliver Ames High                                                                  | 97.1      | 16047.75              |
| Leicester High                                                                    | 92.9      | 16044.98              |
| Shepherd Hill Regional High                                                       | 91.6      | 15953.58              |
| Ware Junior/Senior High School                                                    | 74.3      | 15904.34              |
| Methuen High                                                                      | 91.3      | 15902.93              |
| Hampden Charter School of Science East                                            | 94.5      | 15888.59              |
| Hopkinton High                                                                    | 99.7      | 15870.07              |
| Holliston High                                                                    | 95.9      | 15822.37              |
| Whitman Hanson Regional                                                           | 91        | 15774.38              |
| Easthampton High                                                                  | 89.8      | 15682.73              |
| Blackstone Millville RHS                                                          | 94.7      | 15554.2               |
| Gardner Academy for Learning and Technology                                       | 60.5      | 15454.58              |
| Gardner High                                                                      | 94        | 15454.58              |
| Belchertown High                                                                  | 97.1      | 15420.41              |
| Wachusett Regional High                                                           | 96.4      | 15412.34              |
| Apponequet Regional High                                                          | 96.6      | 15402.08              |
| Foxborough Regional Charter School                                                | 96.9      | 15367.85              |
| Joseph Case High                                                                  | 98.5      | 15361.85              |
| Attleboro Community Academy                                                       | 68        | 15329.28              |
| Attleboro High                                                                    | 94        | 15329.28              |
| Fairhaven High                                                                    | 93        | 15287.17              |
| Hanover High                                                                      | 99.5      | 15268.87              |
| Smith Academy                                                                     | 96        | 15224.63              |
| Lunenburg High                                                                    | 97.3      | 15200.9               |
| Shrewsbury High School                                                            | 98.1      | 15200.15              |
| Center For Technical Education Innovation                                         | 96.4      | 15178.86              |
| Leominster Center for Excellence                                                  | 84.6      | 15178.86              |
| Leominster High School                                                            | 96.2      | 15178.86              |
| Tantasqua Regional Sr High                                                        | 95.5      | 15178.61              |
| Tantasqua Regional Vocational                                                     | 98.2      | 15178.61              |
| East Bridgewater JR./SR. High School                                              | 96        | 15155.67              |
| Auburn Senior High                                                                | 92.4      | 15022.63              |
| Mystic Valley Regional Charter School                                             | 98.8      | 15001                 |
| Narragansett Regional High                                                        | 88.1      | 14990.67              |
| Grafton High School                                                               | 93.6      | 14926.96              |
| Oakmont Regional High School                                                      | 95.9      | 14920.21              |
| North Attleboro High                                                              | 95.1      | 14664.85              |
| Bridgewater-Raynham Regional                                                      | 96.2      | 14606.21              |
| West Bridgewater Junior/Senior                                                    | 96.3      | 14595.33              |
| Melrose High                                                                      | 97        | 14565.67              |
| Atlantis Charter School                                                           | 96.5      | 14406.56              |
| Springfield International Charter School                                          | 97        | 13675.68              |
| Dracut Senior High                                                                | 96.1      | 13660.99              |
| TEC Connections Academy Commonwealth Virtual School                               | 47.9      | 10564.26              |
| Greater Commonwealth Virtual School                                               | 47.6      | 10043.6               |
+-----------------------------------------------------------------------------------+-----------+-----------------------+
